Crime_Year,PrimaryType,Total_Crime,Total_Arrest
2024,"Motor Vehicle Theft",21711,608
2024,Narcotics,5990,5771
2024,Non-criminal,3,1
2024,Obscenity,62,29
2024,"Offense Involving Children",1686,151
2024,"Other Narcotic Violation",5,3
2024,"Other Offense",17128,3295
2024,Prostitution,307,294
2024,"Public Indecency",9,8
2024,"Public Peace Violation",979,483
2024,Robbery,9109,755
2024,"Sex Offense",1251,109
2024,Stalking,516,35
2024,Theft,60541,4127
2024,"Weapons Violation",7839,4807
2025,Arson,373,44
2025,Assault,21575,2685
2025,Battery,42555,8139
2025,Burglary,9727,474
2025,"Concealed Carry Violation",277,270
2025,"Criminal Damage",26213,1134
2025,"Criminal Sexual Assault",1668,52
2025,"Criminal Trespass",5319,1680
2025,"Deceptive Practice",14920,448
2025,Gambling,13,12
2025,Homicide,407,143
2025,"Human Trafficking",13,1
2025,"Interference With Officer",916,840
2025,Intimidation,143,3
2025,Kidnapping,89,7
2025,"Liquor Law Violation",200,186
2025,"Motor Vehicle Theft",17238,582
2025,Narcotics,7417,7032
2025,Non-criminal,3,3
2025,Obscenity,55,28
2025,"Offense Involving Children",1546,114
2025,"Other Narcotic Violation",10,5
2025,"Other Offense",16774,3403
2025,Prostitution,189,172
2025,"Public Indecency",10,10
2025,"Public Peace Violation",1056,536
2025,Robbery,5811,558
2025,"Sex Offense",1323,114
2025,Stalking,574,25
2025,Theft,55102,4959
2025,"Weapons Violation",5445,4248
2026,Arson,81,3
2026,Assault,4844,631
2026,Battery,10034,1893
2026,Burglary,3100,91
2026,"Concealed Carry Violation",45,45
2026,"Criminal Damage",5998,266
2026,"Criminal Sexual Assault",398,5
2026,"Criminal Trespass",1399,488
2026,"Deceptive Practice",3212,85
2026,Homicide,98,15
2026,"Human Trafficking",7,0
2026,"Interference With Officer",262,232
2026,Intimidation,68,0
2026,Kidnapping,28,1
2026,"Liquor Law Violation",46,46
2026,"Motor Vehicle Theft",4406,141
2026,Narcotics,1753,1630
2026,Obscenity,9,3
2026,"Offense Involving Children",410,26
2026,"Other Offense",4010,668
2026,Prostitution,33,28
2026,"Public Indecency",10,10
2026,"Public Peace Violation",270,131
2026,Robbery,1092,97
2026,"Sex Offense",310,12
2026,Stalking,136,6
2026,Theft,12044,1154
2026,"Weapons Violation",1125,825
